RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,x,y
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4, IV30 1YE, 204,141
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2, IV6 7UJ, 158,145
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1, PA28 6DS, 108,288
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2, AB38 7AU, 201,149
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2, AB38 9LR, 201,149
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0, AB54 6DA, 218,163
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2, AB55 4DJ, 201,149
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2, AB37 9BD, 200,160
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2, AB55 4DH, 208,152
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2, G63 9LB, 150,274
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2, EH34 5ET, 204,274
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3, AB37 9DB, 194,163
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2, IV30 3SS, 203,144
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2, IV19 1PZ, 174,123
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0, AB38 7AA, 198,150
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2, PH7 4HA, 172,231
54,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1, KW15 1SU, 230,40
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2, AB56 5AB, 221,145
56,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1, PA60 7XT, 79,259
57,Knochkando,2,3,1,0,0,2,2,1,2,1,2,2, AB38 7RT, 199,251
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0, PA42 7DZ, 65,279
59,Laphroiag,4,2,4,4,1,0,0,1,1,1,0,0, PA42 7DU, 64,280
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2, IV30 3RD, 203,140
61,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2, G83 0TL, 154,265
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3, IV30 3SJ, 204,145
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1, AB38 9RX, 202,151
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2, IV30 3SS, 194,144
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2, IV30 3TQ, 203,140
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2, AB55 4AQ, 209,156
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0, PA34 5NH, 108,224
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1, AB30 1YE, 228,197
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2, KW1 5BA, 216,80
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2, IV12 5QY, 165,150
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1, AB35 5TB, 203,193
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2, KW15 1SE, 225,47
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2, AB38 7AG, 199,154
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2, PH21 1NS, 159,175
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1, PA28 6EJ, 83,298
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2, AB55 3BS, 210,149
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2, AB55 5DQ,210,149
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0, IV47 8SR, 77,219
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2, AB38 7RP, 198,153
80,Tomnavulin,1,3,2,0,0,0,2,0,2,1,2,3, AB37 9JA, 205,163
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2, IV17 0XB, 165,132
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2, PA75 6NR, 81,208
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1, IV13 7YT, 163,163
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2, AB37 9AQ, 201,152
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0, PH26 3LR, 201,151
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1, PH4 1QG, 180,250
